AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
65,Xavier Chittilappilly,CPI(M),81026,47.7,Anil Akkara,INC,65858,38.77,15168
66,K. Rajan,CPI,76657,49.09,Jose Valloor,INC,55151,35.31,21506
67,P. Balachandran,CPI,44263,34.25,Padmaja Venugopal,INC,43317,33.52,946
68,C. C. Mukundan,CPI,72930,47.49,Sunil Lalur,INC,44499,28.98,28431
69,E. T. Taison,CPI,73161,53.76,Sobha Subin,INC,50463,37.08,22698
70,R. Bindu,CPI(M),62493,40.27,Thomas Unniyadan,KEC,56544,36.44,5949
71,K. K. Ramachandran,CPI(M),73365,46.94,Sunil Anthikad,INC,46012,29.44,27353
72,T. J. Saneesh Kumar Joseph,INC,61888,43.23,Dennis Antony,KC(M),60831,42.49,1057
73,V. R. Sunil Kumar,CPI,71457,47.99,M. P. Jackson,INC,47564,31.94,23893
74,Eldhose Kunnappilly,INC,53484,37.1,Babu Joseph,KC(M),50585,35.09,2899
75,Roji M. John,INC,71562,51.86,Jose Thettayil,JD(S),55633,40.31,15929
76,Anwar Sadath,INC,73703,49.0,Shelna Nishad,CPI(M),54817,36.44,18886
77,P. Rajeev,CPI(M),77141,49.49,V. E. Gafoor,IUML,61805,39.65,15336
78,V. D. Satheesan,INC,82264,51.87,M. T. Nixon,CPI,60963,38.44,21301
79,K. N. Unnikrishnan,CPI(M),53858,41.24,Deepak Joy,INC,45657,34.96,8201
80,K. J. Maxi,CPI(M),54632,42.45,Tony Chammany,INC,40553,31.51,14079
81,K. Babu,INC,65875,42.14,M. Swaraj,CPI(M),64883,41.51,992
82,T. J. Vinod,INC,45930,41.72,Shaji George,IND,34960,31.75,10970
83,P. T. Thomas,INC,59839,43.82,J. Jacob,IND,45510,33.32,14329
84,P. V. Sreenijin,CPI(M),52351,33.79,V. P. Sajeendran,INC,49636,32.04,2715
85,Anoop Jacob,KC(J),85056,53.8,Sindhumol Jacob,KC(M),59692,37.76,25364
86,Mathew Kuzhalnadan,INC,64425,44.63,Eldo Abraham,CPI,58264,40.36,6161
87,Antony John,CPI(M),64234,46.99,Shibu Thekkumpuram,KEC,57629,42.16,6605
88,A. Raja,CPI(M),59049,51.0,D. Kumar,INC,51201,44.22,7848
89,M. M. Mani,CPI(M),77381,61.8,E. M. Augusthy,INC,39076,31.21,38305
