AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
68,Apurba Sarkar,TMC,95399,51.16,Goutam Roy,BJP,57319,30.74,38080
69,Humayun Kabir,TMC,96226,50.9,Iman Kalyan Mukherjee,BJP,53143,28.11,43083
70,Rabiul Alam Chowdhury,TMC,118494,56.31,Arabinda Biswas,BJP,50226,23.87,68268
71,Sheikh Hasanuzzaman,TMC,112862,55.19,Sumit Ghosh,BJP,59030,28.86,53832
72,Subrata Maitra,BJP,89340,45.21,Naru Gopal Mukherjee,TMC,62488,31.62,26852
73,Niamot Sheikh,TMC,102660,47.51,Mir Alamgir,INC,88594,41.0,14066
74,Sahina Mumtaz Begum,TMC,117684,58.16,Anupam Mondal,BJP,43531,21.51,74153
75,Jafikul Islam,TMC,127671,56.45,Mostafizur Rahaman,CPI(M),80442,35.57,47229
76,Abdur Razzak,TMC,123840,55.74,Saiful Islam Molla,CPI(M),44564,20.06,79276
77,Bimalendu Sinha Roy,TMC,110911,50.07,Samarendra Nath Ghosh,BJP,87336,39.43,23575
78,Tapas Kumar Saha,TMC,97848,44.86,Ashutosh Paul,BJP,90933,41.69,6915
79,Manik Bhattacharya,TMC,110274,54.22,Bibhash Chandra Mandal,BJP,58938,28.98,51336
80,Nasiruddin Ahamed,TMC,111696,53.35,Abhijit Ghosh,BJP,64709,30.91,46987
81,Kallol Khan,TMC,104812,50.01,Santanu Dey,BJP,83541,39.86,21271
82,Rukbanur Rahman,TMC,73866,34.65,Jeber Sheikh,IND,61748,28.97,12118
83,Mukul Roy,BJP,109357,54.19,Koushani Mukherjee,TMC,74268,36.8,35089
84,Pundarikakshya Saha,TMC,102170,48.52,Siddharth Shankar Naskar,BJP,83599,39.7,18571
85,Ujjal Biswas,TMC,91738,46.88,Mahadev Sarkar,BJP,82433,42.13,9305
86,Jagannath Sarkar,BJP,109722,49.94,Ajoy Dey,TMC,93844,42.72,15878
87,Parthasarathi Chatterjee,BJP,113637,50.91,Shankar Singha,TMC,90509,40.55,23128
88,Ashish Kumar Biswas,BJP,117668,50.73,Tapas Mandal,TMC,96391,41.56,21277
89,Ashim Biswas,BJP,116786,54.39,Samir Kumar Poddar,TMC,85004,39.59,31782
90,Mukut Mani Adhikari,BJP,119260,49.34,Barnali Dey Roy,TMC,102745,42.51,16515
91,Bankim Chandra Ghosh,BJP,99368,46.86,Subhankar Singha,TMC,87688,41.35,11680
92,Ambika Roy,BJP,97026,44.04,Aniruddha Biswas,TMC,94820,43.03,2206
93,Ashim Kumar Sarkar,BJP,97666,46.31,Nilima Nag,TMC,82466,39.11,15200
94,Biswajit Das,BJP,108111,49.41,Paritosh Kumar Saha,TMC,98319,44.94,9792
95,Ashok Kirtania,BJP,97761,47.65,Shyamal Roy,TMC,87273,42.54,10488
96,Swapan Majumder,BJP,97828,47.07,Alo Rani Sarkar,TMC,95824,46.11,2004
97,Subrata Thakur,BJP,100808,47.27,Narottam Biswas,TMC,91230,42.78,9578
98,Bina Mondal,TMC,99784,47.11,Brindaban Sarkar,BJP,64984,30.68,34800
99,Abdur Rahim Qazi,TMC,109701,51.53,Sukalyan Baidya,BJP,53257,25.02,56444
100,Jyotipriya Mallick,TMC,90533,44.34,Rahul Sinha,BJP,86692,42.46,3841
101,Narayan Goswami,TMC,93587,43.18,Tanuja Chakraborty,BJP,70055,32.32,23532
102,Rafiqur Rahaman,TMC,88935,42.0,Joydeb Manna,BJP,63455,29.97,25480
103,Subodh Adhikary,TMC,66625,47.9,Subhranshu Roy,BJP,53278,38.3,13347
104,Partha Bhowmick,TMC,77753,49.69,Phalguni Patra,BJP,58898,37.64,18855
105,Pawan Kumar Singh,BJP,57244,53.4,Jitendra Shaw,TMC,43557,40.63,13687
106,Somenath Shyam Ichini,TMC,87030,48.01,Arindam Bhattacharya,BJP,68666,37.88,18364
107,Manju Basu,TMC,94203,48.9,Sunil Singh,BJP,67493,35.04,26710
108,Raj Chakraborty,TMC,68887,46.47,Chandramani Shukla,BJP,59665,40.25,9222
109,Kajal Sinha,TMC,89807,49.04,Shilbhadra Dutta,BJP,61667,33.67,28140
