AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
273,Abhedananda Thander,TMC,100392,46.25,Kalita Maji,BJP,88577,40.8,11815
274,Nepal Ghorui,TMC,109504,49.21,Bikash Biswas,BJP,90242,40.55,19262
275,Narendranath Chakraborty,TMC,73922,44.99,Jitendra Tiwari,BJP,70119,42.68,3803
276,Pradip Mazumdar,TMC,79303,41.16,Diptansu Chaudhury,BJP,75557,39.21,3746
277,Lakshman Chandra Ghorui,BJP,91186,46.31,Biswanath Parial,TMC,76522,38.86,14664
278,Tapas Banerjee,TMC,78164,42.9,Bijan Mukherjee,BJP,74608,40.95,3556
279,Hareram Singh,TMC,71002,42.59,Tapas Kumar Roy,BJP,62951,37.76,8051
280,Agnimitra Paul,BJP,87881,45.13,Saayoni Ghosh,TMC,83394,42.82,4487
281,Moloy Ghatak,TMC,100931,52.32,Krishnendu Mukherjee,BJP,79821,41.38,21110
282,Ajay Kumar Poddar,BJP,81112,46.41,Ujjal Chatterjee,TMC,80433,46.02,679
283,Bidhan Upadhyay,TMC,88430,52.26,Arijit Roy,BJP,64973,38.4,23457
284,Anup Kumar Saha,BJP,98083,47.94,Debabrata Saha,TMC,94220,46.05,3863
285,Bikash Roy Choudhury,TMC,105871,48.43,Jagannath Chattopadhyay,BJP,98551,45.08,7320
286,Chandranath Sinha,TMC,116443,50.57,Anirban Ganguly,BJP,94163,40.89,22280
287,Bidhan Chandra Majhi,TMC,112116,47.64,Tarakeswar Saha,BJP,105446,44.81,6670
288,Abhijit Sinha,TMC,108423,51.14,Biswajit Mondal,BJP,90448,42.66,17975
289,Nilabati Saha,TMC,110572,49.84,Piya Saha,BJP,95329,42.97,15243
290,Abhijit Roy,TMC,100425,50.36,Shyamapada Mondal,BJP,88350,44.3,12075
291,Ashish Banerjee,TMC,103276,47.52,Subhasis Choudhury,BJP,94804,43.62,8472
292,Ashok Chattopadhyaya,TMC,108289,51.42,Nikhil Banerjee,BJP,57676,27.39,50613
293,Rajendra Prasad Singh,TMC,117438,56.54,Tapas Kumar Yadav,BJP,60533,29.15,56905
294,Mosarraf Hossain,TMC,146496,67.23,Debasish Roy,BJP,48250,22.14,98246
