Seat,Leading,Trailing,3rd Place,1,2,3,Rest
BARAULI,JDU,RJD,OTH,87876,75483,13352,15702
GOPALGANJ,BJP,INC,AIMIM,96892,67920,14225,19835
KUCHAIKOTE,JDU,INC,OTH,100926,76561,6012,17537
BHOREY,JDU,CPIM,OTH,101469,85306,8602,17744
HATHUA,JDU,RJD,OTH,88656,76297,4928,18406
SIWAN,BJP,RJD,AIMIM,90173,80485,3440,11527
ZIRADEI,JDU,CPIM,OTH,55288,53777,9106,15543
DARAULI,LJP,CPIM,OTH,80243,71903,4494,13750
RAGHUNATHPUR,RJD,JDU,OTH,81243,69622,3087,8277
DARAUNDA,BJP,CPIM,OTH,63094,51620,7893,13470
BARHARIA,JDU,RJD,OTH,93180,81050,4677,17176
GORIAKOTHI,BJP,RJD,OTH,66925,52287,2179,6283
MAHARAJGANJ,JDU,RJD,OTH,50716,34921,4864,16798
EKMA,JDU,RJD,OTH,65236,50283,6255,14430
MANJHI,JDU,CPIM,OTH,51768,43066,16878,23825
BANIAPUR,BJP,RJD,OTH,95606,80170,8638,16004
TARAIYA,BJP,RJD,OTH,48032,46323,2777,10268
MARHAURA,RJD,OTH,OTH,67077,49020,12203,14448
CHAPRA,BJP,RJD,OTH,47466,41313,2280,7201
GARKHA,RJD,LJP,OTH,76051,69079,8103,21002
AMNOUR,BJP,RJD,OTH,51913,49170,3957,10854
PARSA,RJD,JDU,OTH,57128,38309,5665,12352
SONEPUR,BJP,RJD,OTH,79174,62783,11258,7665
HAJIPUR,BJP,RJD,OTH,113221,94712,4701,12608
LALGANJ,BJP,RJD,OTH,106394,78799,3831,10519
VAISHALI,JDU,RJD,INC,107374,75446,20304,32860
MAHUA,LJP,RJD,OTH,75136,37610,31200,41119
RAJA PAKAR,JDU,INC,CPIM,89534,44911,12509,25222
RAGHOPUR,RJD,BJP,OTH,116467,102587,3945,11555
MAHNAR,JDU,RJD,OTH,79459,48493,12891,25327
PATEPUR,BJP,RJD,OTH,99820,79246,3836,10177
KALYANPUR,JDU,CPIM,OTH,118162,79576,16574,25363
WARISNAGAR,JDU,CPIM,OTH,76692,50171,7780,26247
SAMASTIPUR,JDU,RJD,OTH,95728,81853,6193,15091
UJIARPUR,RJD,RLM,OTH,102707,86424,9502,31362
MORWA,RJD,JDU,OTH,70641,64162,28055,18419
SARAIRANJAN,JDU,RJD,OTH,101116,80828,6088,16865
MOHIUDDINNAGAR,BJP,RJD,OTH,89208,77526,4414,12092
BIBHUTIPUR,CPIM,JDU,OTH,79246,68965,14456,33651
ROSERA,BJP,INC,OTH,107532,60948,12419,11640
HASANPUR,JDU,RJD,OTH,82309,75432,8771,19587
CHERIA - BARIARPUR,JDU,RJD,OTH,74898,70682,24474,20612
BACHHWARA,BJP,INC,CPIM,87852,74462,20433,14529
TEGHRA,BJP,CPIM,OTH,107880,72860,7987,13147
MATIHANI,RJD,JDU,OTH,102171,92690,6048,8634
SAHEBPUR KAMAL,RJD,LJP,OTH,67036,56984,33624,15764
BEGUSARAI,BJP,INC,OTH,92514,72816,6327,10445
BAKHRI,LJP,CPIM,OTH,77414,66578,9376,12178
ALAULI,JDU,RJD,LJP,93208,57476,14261,14502
KHAGARIA,JDU,INC,OTH,80317,58930,4958,10979
BELDAUR,JDU,INC,INC,79513,49563,6731,20361
PARBATTA,LJP,RJD,OTH,90688,66833,3569,5873
BIHPUR,BJP,OTH,OTH,91458,61433,8821,12843
GOPALPUR,JDU,OTH,OTH,104714,48848,12019,19111
PIRPAINTI,BJP,RJD,OTH,129321,81544,5253,12715
KAHALGAON,JDU,RJD,OTH,105027,58610,8368,22022
BHAGALPUR,BJP,INC,OTH,95954,85589,3046,5599
SULTANGANJ,JDU,RJD,OTH,108712,77576,4402,19124
NATHNAGAR,LJP,RJD,AIMIM,89441,73585,7311,17014
AMARPUR,JDU,INC,OTH,70212,49486,4069,8813
DHORAIYA,JDU,RJD,OTH,99123,78216,5516,9239
BANKA,BJP,CPIM,OTH,64426,47755,4697,14130
KATORIA,BJP,RJD,OTH,91224,80711,4974,12989
BELHAR,JDU,RJD,OTH,89348,58004,6670,19730
TARAPUR,BJP,RJD,OTH,122199,76379,3862,12716
MUNGER,BJP,RJD,AIMIM,99724,82870,3509,9480
JAMALPUR,JDU,INC,OTH,68943,44995,13938,18883
SURYAGARHA,JDU,RJD,OTH,69623,43875,29956,14629
LAKHISARAI,BJP,INC,OTH,84134,66928,5792,13366
SHEIKHPURA,JDU,RJD,OTH,82922,60375,4184,15860
BARBIGHA,JDU,INC,OTH,59273,33061,27572,16997
ASTHAWAN,JDU,RJD,OTH,90542,49834,15962,17361
BIHARSHARIF,BJP,INC,OTH,94761,61470,5866,16631
RAJGIR,JDU,CPIM,OTH,107811,52383,9916,16180
ISLAMPUR,JDU,RJD,OTH,85028,58701,4321,11816
HILSA,JDU,RJD,OTH,87019,76179,3855,11784
NALANDA,JDU,INC,OTH,97689,66428,4878,15533
HARNAUT,JDU,INC,OTH,106954,58619,7927,18662
MOKAMA,JDU,RJD,OTH,91416,63210,19365,10930
BARH,BJP,RJD,OTH,99172,74494,3627,11645
BAKHTIARPUR,LJP,RJD,OTH,88520,87539,6581,13460
DIGHA,BJP,CPIM,OTH,110301,51713,21869,11088
BANKIPUR,BJP,RJD,OTH,98299,46363,7717,4506
KUMHRAR,BJP,INC,OTH,100485,52961,15017,5043
PATNA SAHIB,BJP,INC,OTH,130366,91466,5263,8057
FATUHA,RJD,LJP,OTH,90558,82566,8598,16458
DANAPUR,BJP,RJD,OTH,119877,90744,3242,6444
MANER,RJD,LJP,OTH,110798,90764,5041,19540
PHULWARI,JDU,CPIM,OTH,105025,82728,9627,21734
MASAURHI,JDU,RJD,OTH,106505,98862,5146,15306
PALIGANJ,CPIM,LJP,OTH,81105,74450,6612,20153
BIKRAM,BJP,INC,OTH,101189,95588,4937,13488
SANDESH,JDU,RJD,OTH,80598,80571,6040,16021
BARHARA,BJP,RJD,OTH,79377,65069,9260,27922
ARRAH,BJP,CPIM,OTH,94201,74620,5800,10157
AGIAON,BJP,CPIM,OTH,65333,65295,3620,10387
TARARI,BJP,CPIM,OTH,96712,85189,4069,8987
JAGDISHPUR,JDU,RJD,OTH,87059,71376,4684,14582
SHAHPUR,BJP,RJD,OTH,86021,70530,3752,11912
BRAHAMPUR,RJD,LJP,OTH,80876,80841,4230,11865
BUXAR,BJP,INC,OTH,80208,52808,25505,16788
DUMRAON,JDU,CPIM,OTH,72391,70000,10144,26686
RAJPUR,JDU,INC,OTH,55446,49913,14681,27541
RAMGARH,OTH,BJP,RJD,62640,61395,35337,7048
MOHANIA,BJP,OTH,OTH,71557,54196,30706,23358
BHABUA,BJP,RJD,OTH,72246,48913,35572,15798
CHAINPUR,JDU,RJD,OTH,46133,37538,31613,25548
CHENARI,LJP,INC,OTH,61250,51748,5893,16540
SASARAM,RLM,RJD,OTH,49048,41055,3950,13197
KARGAHAR,JDU,OTH,INC,78579,50372,33242,26098
DINARA,RLM,RJD,OTH,50298,37802,13050,17349
NOKHA,JDU,RJD,OTH,89997,67172,4645,14720
DEHRI,LJP,RJD,OTH,91055,59206,6455,11195
KARAKAT,CPIM,JDU,OTH,67919,66036,20889,26678
ARWAL,BJP,CPIM,OTH,64961,52664,3121,16673
KURTHA,JDU,RJD,OTH,73618,67993,4970,17202
JEHANABAD,RJD,JDU,OTH,85169,84914,5703,15656
GHOSI,JDU,CPIM,OTH,76694,66750,3520,17445
MAKHDUMPUR,RJD,LJP,OTH,68607,64773,4349,12312
GOH,RJD,BJP,OTH,61440,61038,5388,13656
OBRA,LJP,RJD,OTH,60765,49538,4503,17761
NABINAGAR,RJD,JDU,OTH,34807,34321,3593,9632
KUTUMBA,HAM,INC,OTH,66096,51436,5031,15589
AURANGABAD,BJP,INC,OTH,65912,65086,12194,9841
RAFIGANJ,RJD,JDU,OTH,57419,53392,2610,7178
GURUA,BJP,RJD,OTH,86310,66554,7343,17513
SHERGHATI,LJP,RJD,OTH,76837,63098,18970,42149
IMAMGANJ,HAM,RJD,OTH,104861,79005,11912,10503
BARACHATTI,HAM,RJD,OTH,99704,92285,4007,15114
BODH GAYA,RJD,LJP,OTH,100236,99355,10181,21301
GAYA TOWN,BJP,INC,OTH,90878,64455,4479,7146
TIKARI,RJD,HAM,OTH,80278,77991,3589,13289
BELAGANJ,JDU,RJD,OTH,95685,92803,3074,13457
ATRI,HAM,RJD,OTH,95797,74022,3414,15071
WAZIRGANJ,BJP,INC,OTH,93698,80713,14157,19293
RAJAULI,LJP,RJD,OTH,89955,86193,4262,19776
HISUA,BJP,INC,OTH,52051,39124,16980,12718
NAWADA,JDU,RJD,OTH,42851,26425,12020,15072
GOBINDPUR,LJP,RJD,OTH,72581,49675,39813,18831
WARSALIGANJ,RJD,BJP,OTH,69631,65174,2915,6160
SIKANDRA,HAM,RJD,OTH,77627,51859,10925,15382
JAMUI,BJP,RJD,OTH,109309,62379,5244,15573
JHAJHA,JDU,RJD,OTH,102909,98830,8445,20456
CHAKAI,RJD,JDU,OTH,61417,53152,34951,26515
