AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
64,Biswajit Daimary,BJP,72639,60.82,Karuna Kanta Swargiary,BPF,36787,30.8,35852
65,Durga Das Boro,BPF,60815,41.05,Madhu Ram Deka,BJP,53713,36.26,7102
66,Parmananda Rajbongshi,BJP,74739,50.33,Kuldip Barua,INC,67605,45.52,7134
67,Basanta Das,INC,111386,54.68,Guru Jyoti Das,BJP,87032,42.72,24354
68,Mazibur Rahman,AIUDF,118342,55.2,Ilias Ali,INC,62959,29.37,55383
69,Gobinda Chandra Basumatary,UPPL,61767,50.43,Rihon Daimari,BPF,56916,46.47,4851
70,Charan Boro,BPF,54409,42.32,Jitu Kissan,BJP,38352,29.83,16057
71,Ashok Singhal,BJP,93768,56.89,Benudhar Nath,INC,58698,35.62,35070
72,Ganesh Kumar Limbu,BJP,70569,51.5,Ram Prasad Sarma,INC,52787,38.52,17782
73,Prithiraj Rava,AGP,71454,47.69,Anuj Kumar Mech,INC,61331,40.93,10123
74,Krishna Kamal Tanti,BJP,70172,53.2,Abhijit Hazarika,INC,47827,36.26,22345
75,Padma Hazarika,BJP,84807,56.5,Praneswar Basumatary,INC,60432,40.26,24375
76,Promod Borthakur,BJP,71201,50.8,Anjan Borah,INC,61991,44.23,9210
77,Ranjit Dutta,BJP,53583,50.93,Jayanta Borah,IND,23744,22.57,29839
78,Utpal Borah,BJP,93224,57.14,Ripun Bora,INC,63930,39.18,29294
79,Pijush Hazarika,BJP,106643,53.54,Swapan Kumar Mandal,INC,77239,38.78,29404
80,Rama Kanta Dewri,BJP,81657,52.15,Bani Kanta Das,AJP,45125,28.82,36532
81,Dr. Asif Mohammad Nazar,INC,60932,37.3,Siddique Ahmed,IND,58904,36.06,2028
82,Sashi Kanta Das,INC,89511,50.05,Bishnu Das,AGP,76453,42.75,13058
83,Aminul Islam,AIUDF,145888,70.39,Mehboob Muktar,IND,42921,20.71,102947
84,Sibamoni Bora,INC,84278,60.02,Angoorlata Deka,BJP,51458,36.64,32820
85,Nurul Huda,INC,132091,73.0,Najir Hussain,BJP,25739,14.22,106352
86,Rupak Sarmah,BJP,81098,52.01,Santanu Sarma,INC,70015,44.9,11083
87,Jitu Goswami,BJP,70111,48.7,Suresh Borah,INC,69360,48.18,751
88,Rakibul Hussain,INC,81123,58.09,Anil Saikia,BJP,55025,39.4,26098
89,Keshab Mahanta,AGP,73677,59.06,Prasanta Kumar Saikia,INC,44957,36.04,28720
90,Sirajuddin Ajmal,AIUDF,136902,73.14,Sadik Ullah Bhuyan,AGP,18342,9.8,118560
91,Ramkrishna Ghosh,BJP,125790,56.64,Debabrata Saha,INC,92008,41.43,33782
92,Sibu Misra,BJP,89108,51.04,Swapan Kar,INC,77377,44.32,11731
93,Atul Bora,AGP,72930,60.56,Pranab Doley,IND,27749,23.04,45181
94,Biswajit Phukan,BJP,107090,51.49,Roselina Tirkey,INC,67731,32.57,39359
