AC_NO,AC_NAME,Total_Electors,Turnout_Pct
168,KASHIPURBELGACHHIA,167936,89.01
169,BALLY,133573,86.86
170,HOWRAH UTTAR,149948,88.26
171,HOWRAH MADHYA,214821,89.44
172,SHIBPUR,194963,92.32
173,HOWRAH DAKSHIN,240607,91.5
174,SANKRAIL (SC),240252,94.95
175,PANCHLA,248497,93.6
176,ULUBERIA PURBA,218481,94.27
177,ULUBERIA UTTAR (SC),214671,94.23
178,ULUBERIA DAKSHIN,237057,95.01
179,SHYAMPUR,259278,92.56
180,BAGNAN,230578,94.08
181,AMTA,256982,90.56
182,UDAYNARAYANPUR,229091,92.74
183,JAGATBALLAVPUR,270806,92.89
184,DOMJUR,269236,94
185,UTTARPARA,228272,89.43
186,SREERAMPUR,205662,90.01
187,CHAMPDANI,221952,91.43
188,SINGUR,237388,93.16
189,CHANDANNAGAR,203451,90.95
190,CHUNCHURA,275715,91.42
191,BALAGARH (SC),240088,93.58
192,PANDUA,249081,93.35
193,SAPTAGRAM,210370,92.87
194,CHANDITALA,246543,91.94
195,JANGIPARA,251069,91.94
196,HARIPAL,264175,92.41
197,DHANEKHALI(SC),262689,93.54
198,TARAKESWAR,235441,93.2
199,PURSURAH,259590,92.09
200,ARAMBAG (SC),253260,92.53
201,GOGHAT (SC),248076,93.81
202,KHANAKUL,268570,87.83
203,TAMLUK,274508,92.63
204,PANSKURA PURBA,238519,92.03
205,PANSKURA PASCHIM,278744,91.19
206,MOYNA,264971,91.88
207,NANDAKUMAR,264437,93.48
208,MAHISADAL,253523,93.09
209,HALDIA (SC),251919,94.25
210,NANDIGRAM,266415,93.98
211,CHANDIPUR,255924,93.54
212,PATASHPUR,247037,92.98
213,KANTHI UTTAR,263602,93.67
214,BHAGABANPUR,263775,93.08
215,KHEJURI (SC),247976,94.35
216,KANTHI DAKSHIN,227954,91.81
217,RAMNAGAR,269252,90.02
218,EGRA,291598,91.49
219,DANTAN,236168,91.89
220,NAYAGRAM (ST),226894,90.65
221,GOPIBALLAVPUR,227793,92.76
222,JHARGRAM,235147,92.63
223,KESHIARY (ST),238769,93019
224,KHARAGPUR SADAR,180530,88071
225,NARAYANGARH,239064,93.7
226,SABANG,274383,92.9
227,PINGLA,255892,94.27
228,KHARAGPUR,218142,95.02
229,DEBRA,231898,93.02
230,DASPUR,296045,84.6
231,GHATAL (SC),276569,86.86
232,CHANDRAKONA (SC),282820,93.14
233,GARBETA,232881,94.77
234,SALBONI,279304,94.75
235,KESHPUR (SC),268034,94.37
236,MEDINIPUR,260295,92.56
237,BINPUR (ST),221125,93.02
238,BANDWAN (ST),285966,92.35
239,BALARAMPUR,235388,92.71
240,BAGHMUNDI,250657,91.07
241,JOYPUR,253825,91.28
242,PURULIA,251816,90.74
243,MANBAZAR (ST),255460,91.73
244,KASHIPUR,229552,91.42
245,PARA (SC),236120,91.01
246,RAGHUNATHPUR(SC),254023,91.92
247,SALTORA (SC),233175,93.01
248,CHHATNA,242151,90.6
249,RANIBANDH (ST),254570,91.8
250,RAIPUR (ST),224120,92.86
251,TALDANGRA,235685,92.02
252,BANKURA,260886,90.32
253,BARJORA,251402,92.79
254,ONDA,262408,93.06
255,BISHNUPUR,220284,93.43
256,KATULPUR (SC),253697,93.74
257,INDUS (SC),245267,94.01
258,SONAMUKHI (SC),235770,93.3
259,KHANDAGHOSH (SC),233679,94.9
260,BARDHAMAN DAKSHIN,221961,90.83
261,RAINA (SC),246060,94.08
262,JAMALPUR (SC),225468,94.71
263,MONTESWAR,216764,93.56
264,KALNA (SC),226370,93.46
265,MEMARI,239601,94.37
266,BARDHAMAN UTTAR,260360,94.42
267,BHATAR,226642,94.2
268,PURBASTHALI DAKSHIN,232577,94.03
269,PURBASTHALI UTTAR,239480,93.19
270,KATWA,256811,92.39
271,KETUGRAM,234035,93.13
272,MANGALKOT,231984,93.91
273,AUSGRAM (SC),236010,95.21
274,GALSI (SC),243955,94.83
275,PANDABESWAR,188390,92.14
276,DURGAPUR PURBA,237127,90.07
277,DURGAPUR PASCHIM,238700,90.27
278,RANIGANJ,215994,90.42
279,JAMURIA,196545,91.79
280,ASANSOL DAKSHIN,239030,89.73
281,ASANSOL UTTAR,236858,88.29
282,KULTI,210553,89.87
283,BARABANI,201898,91.02
284,DUBRAJPUR (SC),231503,94.58
285,SURI,252071,93.63
286,BOLPUR,260112,93.82
287,NANOOR (SC),269082,93.46
288,LABPUR,234630,94.29
289,SAINTHIA (SC),251997,95.01
290,MAYURESWAR,225874,93.89
291,RAMPURHAT,245159,94.53
292,HANSAN,237273,94.92
293,NALHATI,231681,95.63
294,MURARAI,252004,96.08
